Date,Description,Amount,Category
2024-01-01,Netflix Subscription,-15.99,Streaming
2024-01-02,Starbucks,-4.50,Coffee
2024-01-03,Salary,2000,Income
2024-01-04,Amazon Purchase,-45.23,Shopping
2024-01-05,Uber Ride,-12.80,Transport
2024-01-06,Spotify Subscription,-9.99,Music
2024-01-07,Whole Foods,-56.70,Grocery
2024-01-08,Apple Store,-120.00,Electronics
2024-01-09,Shell Gas,-35.00,Gas
2024-01-10,McDonalds,-8.50,Food
2024-01-11,Bookstore,-22.00,Books
2024-01-12,Pharmacy,-18.75,Health
2024-01-13,Movie Theater,-13.00,Entertainment
2024-01-14,PayPal Transfer,150.00,Transfer
2024-01-15,Electricity Bill,-60.00,Utilities
2024-01-16,Water Bill,-30.00,Utilities
2024-01-17,Internet Bill,-50.00,Utilities
2024-01-18,Mobile Recharge,-20.00,Utilities
2024-01-19,Charity Donation,-25.00,Charity
2024-01-20,ATM Withdrawal,-100.00,Cash
2024-01-21,Interest,2.50,Income
2024-01-22,Starbucks,-5.00,Coffee
2024-01-23,Netflix Subscription,-15.99,Streaming
2024-01-24,Amazon Purchase,-75.00,Shopping
2024-01-25,Uber Ride,-14.20,Transport
2024-01-26,Spotify Subscription,-9.99,Music
2024-01-27,Whole Foods,-60.00,Grocery
2024-01-28,Apple Store,-200.00,Electronics
2024-01-29,Shell Gas,-40.00,Gas
2024-01-30,McDonalds,-7.50,Food
2024-01-31,Bookstore,-18.00,Books
2024-02-01,Pharmacy,-22.00,Health
2024-02-02,Movie Theater,-15.00,Entertainment
2024-02-03,PayPal Transfer,200.00,Transfer
2024-02-04,Electricity Bill,-65.00,Utilities
2024-02-05,Water Bill,-32.00,Utilities
2024-02-06,Internet Bill,-52.00,Utilities
2024-02-07,Mobile Recharge,-22.00,Utilities
2024-02-08,Charity Donation,-30.00,Charity
2024-02-09,ATM Withdrawal,-120.00,Cash
2024-02-10,Interest,3.00,Income
2024-02-11,Starbucks,-4.75,Coffee
2024-02-12,Netflix Subscription,-15.99,Streaming
2024-02-13,Amazon Purchase,-60.00,Shopping
2024-02-14,Uber Ride,-13.50,Transport
2024-02-15,Spotify Subscription,-9.99,Music
2024-02-16,Whole Foods,-58.00,Grocery
2024-02-17,Apple Store,-150.00,Electronics
2024-02-18,Shell Gas,-38.00,Gas
2024-02-19,McDonalds,-9.00,Food
2024-02-20,Bookstore,-20.00,Books
2024-02-21,Pharmacy,-19.00,Health
2024-02-22,Movie Theater,-14.00,Entertainment
2024-02-23,PayPal Transfer,180.00,Transfer
2024-02-24,Electricity Bill,-62.00,Utilities
2024-02-25,Water Bill,-31.00,Utilities
2024-02-26,Internet Bill,-51.00,Utilities
2024-02-27,Mobile Recharge,-21.00,Utilities
2024-02-28,Charity Donation,-28.00,Charity
2024-02-29,ATM Withdrawal,-110.00,Cash
2024-03-01,Interest,2.75,Income
2024-03-02,Starbucks,-5.25,Coffee
2024-03-03,Netflix Subscription,-15.99,Streaming
2024-03-04,Amazon Purchase,-80.00,Shopping
2024-03-05,Uber Ride,-15.00,Transport
2024-03-06,Spotify Subscription,-9.99,Music
2024-03-07,Whole Foods,-62.00,Grocery
2024-03-08,Apple Store,-180.00,Electronics
2024-03-09,Shell Gas,-42.00,Gas
2024-03-10,McDonalds,-8.25,Food
2024-03-11,Bookstore,-21.00,Books
2024-03-12,Pharmacy,-20.00,Health
2024-03-13,Movie Theater,-16.00,Entertainment
2024-03-14,PayPal Transfer,170.00,Transfer
2024-03-15,Electricity Bill,-68.00,Utilities
2024-03-16,Water Bill,-33.00,Utilities
2024-03-17,Internet Bill,-53.00,Utilities
2024-03-18,Mobile Recharge,-23.00,Utilities
2024-03-19,Charity Donation,-27.00,Charity
2024-03-20,ATM Withdrawal,-130.00,Cash
2024-03-21,Interest,2.80,Income
2024-03-22,Starbucks,-4.90,Coffee
2024-03-23,Netflix Subscription,-15.99,Streaming
2024-03-24,Amazon Purchase,-90.00,Shopping
2024-03-25,Uber Ride,-16.00,Transport
2024-03-26,Spotify Subscription,-9.99,Music
2024-03-27,Whole Foods,-65.00,Grocery
2024-03-28,Apple Store,-210.00,Electronics
2024-03-29,Shell Gas,-44.00,Gas
2024-03-30,McDonalds,-7.80,Food
2024-03-31,Bookstore,-19.00,Books
2024-06-01,Starbucks,Coffee,5.25
2024-06-01,Amazon,Shopping,120.00
2024-06-02,Whole Foods,Groceries,45.10
2024-06-03,Uber,Transport,15.00
2024-06-04,Apple Store,Electronics,500.00
2024-06-05,Netflix,Entertainment,13.99
2024-06-06,Starbucks,Coffee,4.75
2024-06-07,Amazon,Shopping,60.00
2024-06-08,Whole Foods,Groceries,50.00
2024-06-09,Uber,Transport,20.00
2024-06-10,Apple Store,Electronics,200.00
2024-06-11,Netflix,Entertainment,13.99

